Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_03_569.jpg,0,0.3481928,0,1.720987,100.1127,83.30793,1.254222,281.0046,-0.0004851396
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_03_640.jpg,0,0.1435585,0,1.73058,100.1384,83.17268,1.205235,280.9905,-0.0003846167
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_03_707.jpg,0,0,0,1.730389,100.1575,83.07199,1.126999,280.9801,-0.0002936882
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_03_771.jpg,0,0,0,1.725541,100.1765,82.97216,1.015189,280.9701,-0.0001901279
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_03_841.jpg,0,0,0,1.720233,100.2016,82.84019,0.8286045,280.9577,0.0009016125
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_03_907.jpg,0,0,0,1.713074,100.2203,82.74194,0.670881,280.9516,0.007767192
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_03_956.jpg,0,0,0,1.711268,100.2391,82.64414,0.5057774,280.9491,0.02116979
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_04_022.jpg,0,0,0,1.703974,100.2579,82.54676,0.3369484,280.9492,0.03807336
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_04_088.jpg,0,0.2000902,0,1.699067,100.2767,82.44947,0.1717188,280.9492,0.05274871
C:\Users\Daniel\Documents\Documents\RoboND\Project_1\RoboND-Rover-Project\RoboND-Rover-Project-master\dataset\IMG\robocam_2017_05_29_10_32_04_158.jpg,0,0.4074409,0,1.705853,100.3021,82.31824,-0.001363319,280.9492,0.06858227
